Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.061254,-0.0034681,0.066989,0,0,0,22,0.015449,-1.3488E-06,-0.0019835,0.021949,6.4994E-06,0.022958,0,0,0,0,0,0,package://engineer_v7/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://engineer_v7/meshes/base_link.STL,,四驱战车整车不中嘞工程底盘第n板2.6备份第二份0006-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.00021481,0.0018535,0.057337,0,0,0,2.1,0.0011115,4.3686E-07,-1.0782E-05,0.0016989,8.4001E-06,0.0012571,0,0,0,0,0,0,package://engineer_v7/meshes/link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://engineer_v7/meshes/link1.STL,,J1-1,坐标系2,基准轴2,joint1,revolute,0.14614,-0.00014615,0.1938,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
link2,-1.345E-05,0.1949,-0.025277,0,0,0,1.3,0.0054198,1.8584E-08,-1.6807E-08,0.00059311,1.6851E-05,0.0058167,0,0,0,0,0,0,package://engineer_v7/meshes/link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://engineer_v7/meshes/link2.STL,,装配体2-1,坐标系3,基准轴3,joint2,revolute,0,0,0.075,1.5708,0,0,link1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link3,-0.050612,1.2904E-05,-0.062034,0,0,0,0.9,0.00048526,-4.3035E-08,5.6867E-06,0.00055415,5.0253E-08,0.00058003,0,0,0,0,0,0,package://engineer_v7/meshes/link3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://engineer_v7/meshes/link3.STL,,J3-1,坐标系4,基准轴4,joint3,revolute,0,0.33,0,3.1416,0,-1.5708,link2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link4,-0.00027014,-0.0043901,0.20898,0,0,0,0.7,0.00076152,4.9474E-08,1.3776E-06,0.000784,5.4255E-10,0.00017336,0,0,0,0,0,0,package://engineer_v7/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://engineer_v7/meshes/link4.STL,,J5侧板2-1;J5侧板1-1;连接块 6 6 21-7;连接块 6 6 21-5;J5下板-1;J5下板-2;J5电机固定块-1;dm-j4310-2ec-v1.1__3d_20240822_1-1;J5电机固定块-2;J5关节齿轮2-1;小带轮安装-1;L4底板-1;零件9-1,坐标系5,基准轴5,joint4,revolute,0,0,-0.0582,1.5708,0,-1.5708,link3,0,0,1,0,0,-3.14,3.14,,,,,,,,
link5,-0.00016564,-0.02146,0.00040222,0,0,0,0.7,0.00013162,1.3297E-06,-3.4582E-09,0.00020968,1.2332E-08,0.00012381,0,0,0,0,0,0,package://engineer_v7/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://engineer_v7/meshes/link5.STL,,6020RoboMaster  直流无刷电机-2;铝柱-3;J6电机底板-1;铝柱-2;6020电机输出轴修复件-1;J6电机安装-1;J5关节齿轮一-1;法兰轴承25  32  4-1;齿轮传动件-1;齿轮传动件-2;法兰轴承25  32  4-2;夹爪电机安装铝件1-1;夹爪电机安装铝件-1;铝柱-1;铝柱-4,坐标系8,基准轴9,joint5,revolute,0,0,0.344,1.5708,0,0,link4,0,0,1,0,0,-3.14,3.14,,,,,,,,
link6,0.0005761,3.0334E-05,-0.053665,0,0,0,0.55,0.0002377,-1.4744E-05,-4.3202E-07,7.506E-05,-2.0014E-07,0.00027768,0,0,0,0,0,0,package://engineer_v7/meshes/link6.STL,0.8,0.95686,0.72157,1,0,0,0,0,0,0,package://engineer_v7/meshes/link6.STL,,新夹爪-1/斜支撑-2;新夹爪-1/斜支撑-1;新夹爪-1/dm-j4310-2ec-v1.1__3d_20240822_1-1;新夹爪-1/导轨固定-1;新夹爪-1/连接块 6×6×40-2;新夹爪-1/MGN9H 导轨-3;新夹爪-1/连接块 6×6×40-1;新夹爪-1/MGN9H 导轨-2,坐标系9,基准轴10,joint6,revolute,0,0,0,1.5708,0,0,link5,0.010695,0,-0.99994,0,0,-3.14,3.14,,,,,,,,
right_finger_link,0.058917,-0.0014642,0.032751,0,0,0,0.275,2.5608E-05,-5.9875E-08,2.5572E-06,2.7398E-05,8.0741E-09,9.9196E-06,0,0,0,0,0,0,package://engineer_v7/meshes/right_finger_link.STL,1,1,1,1,0,0,0,0,0,0,package://engineer_v7/meshes/right_finger_link.STL,,新夹爪-1/美甲-1;新夹爪-1/夹爪（美甲）-1;新夹爪-1/夹爪齿条固定-2;新夹爪-1/美甲-2;新夹爪-1/MGN9-C微小型滚珠直线导轨[MGN9C2R100ZFC]_MGN滑块-2;新夹爪-1/夹爪固定齿条-5,坐标系10,基准轴11,right_finger_joint,prismatic,0.0008128,0,-0.075996,3.1309,-0.00095972,1.4809,link6,-1,0,0,0,0,0,0.03,,,,,,,,
left_finger_link,-0.059543,0.0016825,0.032751,0,0,0,0.275,2.5608E-05,-5.9875E-08,-2.5572E-06,2.7398E-05,-7.9977E-09,9.9196E-06,0,0,0,0,0,0,package://engineer_v7/meshes/left_finger_link.STL,0.8,0.95686,0.72157,1,0,0,0,0,0,0,package://engineer_v7/meshes/left_finger_link.STL,,新夹爪-1/夹爪（美甲）-3;新夹爪-1/美甲-6;新夹爪-1/美甲-5;新夹爪-1/夹爪固定齿条-4;新夹爪-1/夹爪齿条固定-1;新夹爪-1/MGN9-C微小型滚珠直线导轨[MGN9C2R100ZFC]_MGN滑块-1,坐标系10,基准轴12,left_finger_joint,prismatic,0.0008128,0,-0.075996,3.1309,-0.00095972,1.4809,link6,1,0,0,0,0,0,0.03,,,,,,,,
camera_link,0.0046932,0.0038938,0.0012613,0,0,0,0.4,0.00012686,-3.3584E-06,1.0872E-06,4.4923E-05,-9.6453E-07,0.00014272,0,0,0,0,0,0,package://engineer_v7/meshes/camera_link.STL,1,1,1,1,0,0,0,0,0,0,package://engineer_v7/meshes/camera_link.STL,,ppppppppppppp-1;D415深度相机-1;零件10-1,坐标系11,基准轴14,cemera_joint,fixed,0.012,0.065,-0.0807,1.5708,0,-3.1416,link3,0,0,0,,,,,,,,,,,,
